Epoch 1, Train Acc: 10.0552, Train Loss: 6.8300, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 14.5600, Test Loss: 3.6285
Epoch 2, Train Acc: 25.1621, Train Loss: 4.8838, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 30.2900, Test Loss: 2.7470
Epoch 3, Train Acc: 35.0092, Train Loss: 3.9391, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 34.3000, Test Loss: 2.5279
Epoch 4, Train Acc: 41.9054, Train Loss: 3.3979, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.8500, Test Loss: 2.1645
Epoch 5, Train Acc: 46.2328, Train Loss: 3.1028, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.2900, Test Loss: 2.1022
Epoch 6, Train Acc: 49.1037, Train Loss: 2.8968, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.8700, Test Loss: 2.0243
Epoch 7, Train Acc: 51.2524, Train Loss: 2.7668, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7900, Test Loss: 1.8888
Epoch 8, Train Acc: 52.8009, Train Loss: 2.6470, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.8600, Test Loss: 1.9748
Epoch 9, Train Acc: 53.8652, Train Loss: 2.5760, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.9700, Test Loss: 1.8806
Epoch 10, Train Acc: 55.3137, Train Loss: 2.5052, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.8000, Test Loss: 1.8394
Epoch 11, Train Acc: 56.1440, Train Loss: 2.4504, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.8300, Test Loss: 1.7989
Epoch 12, Train Acc: 56.2140, Train Loss: 2.4199, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7300, Test Loss: 1.8590
Epoch 13, Train Acc: 57.0343, Train Loss: 2.3994, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.3100, Test Loss: 1.8941
Epoch 14, Train Acc: 57.6064, Train Loss: 2.3515, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3000, Test Loss: 1.8122
Epoch 15, Train Acc: 57.9886, Train Loss: 2.3332, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.7700, Test Loss: 1.7493
Epoch 16, Train Acc: 58.3447, Train Loss: 2.3029, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.6700, Test Loss: 1.7405
Epoch 17, Train Acc: 58.3087, Train Loss: 2.2877, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.7000, Test Loss: 1.7785
Epoch 18, Train Acc: 58.5847, Train Loss: 2.2779, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2300, Test Loss: 1.8186
Epoch 19, Train Acc: 58.9769, Train Loss: 2.2624, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.3400, Test Loss: 1.9092
Epoch 20, Train Acc: 59.4050, Train Loss: 2.2400, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6300, Test Loss: 1.8994
Epoch 21, Train Acc: 59.7271, Train Loss: 2.2315, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.4900, Test Loss: 2.0662
Epoch 22, Train Acc: 60.1793, Train Loss: 2.2084, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.5900, Test Loss: 1.8498
