Epoch 1, Train Acc: 8.3247, Train Loss: 4.6933, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 12.9900, Test Loss: 3.6118
Epoch 2, Train Acc: 17.7437, Train Loss: 4.6037, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 19.2300, Test Loss: 3.6669
Epoch 3, Train Acc: 26.6785, Train Loss: 4.4758, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 28.6600, Test Loss: 2.9458
Epoch 4, Train Acc: 33.0346, Train Loss: 4.4513, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.4000, Test Loss: 2.5109
Epoch 5, Train Acc: 37.9682, Train Loss: 4.4719, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 35.9300, Test Loss: 2.6698
Epoch 6, Train Acc: 41.7494, Train Loss: 4.5275, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.8400, Test Loss: 3.0915
Epoch 7, Train Acc: 44.4562, Train Loss: 4.6242, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.4600, Test Loss: 2.3419
Epoch 8, Train Acc: 46.6209, Train Loss: 4.7598, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.8600, Test Loss: 2.2008
Epoch 9, Train Acc: 48.7116, Train Loss: 4.9026, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.8700, Test Loss: 2.2385
Epoch 10, Train Acc: 49.8920, Train Loss: 5.0487, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.8300, Test Loss: 2.6060
Epoch 11, Train Acc: 51.2504, Train Loss: 5.2188, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.6800, Test Loss: 2.5397
Epoch 12, Train Acc: 51.6545, Train Loss: 5.4122, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.6200, Test Loss: 2.4156
Epoch 13, Train Acc: 52.6869, Train Loss: 5.5610, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.7300, Test Loss: 2.5464
Epoch 14, Train Acc: 53.8152, Train Loss: 5.7411, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.6000, Test Loss: 2.4676
Epoch 15, Train Acc: 53.8572, Train Loss: 5.9523, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.2500, Test Loss: 2.8724
Epoch 16, Train Acc: 54.3514, Train Loss: 6.1502, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.3100, Test Loss: 2.4252
Epoch 17, Train Acc: 55.0496, Train Loss: 6.3198, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.3000, Test Loss: 2.4756
Epoch 18, Train Acc: 55.4037, Train Loss: 6.5374, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.8000, Test Loss: 2.1888
Epoch 19, Train Acc: 55.6698, Train Loss: 6.6840, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.9600, Test Loss: 2.3274
Epoch 20, Train Acc: 55.9859, Train Loss: 6.9370, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.8200, Test Loss: 2.2668
Epoch 21, Train Acc: 56.7081, Train Loss: 6.7921, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2300, Test Loss: 2.0379
Epoch 22, Train Acc: 57.3684, Train Loss: 6.6662, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7800, Test Loss: 2.2598
Epoch 23, Train Acc: 57.7585, Train Loss: 6.6202, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.9500, Test Loss: 2.0831
Epoch 24, Train Acc: 57.6885, Train Loss: 6.6070, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.6700, Test Loss: 2.3536
Epoch 25, Train Acc: 58.0166, Train Loss: 6.5573, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2400, Test Loss: 1.8518
Epoch 26, Train Acc: 57.9766, Train Loss: 6.4911, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.2100, Test Loss: 2.2224
Epoch 27, Train Acc: 58.2186, Train Loss: 6.4757, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.0900, Test Loss: 2.1011
Epoch 28, Train Acc: 58.5147, Train Loss: 6.4464, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3800, Test Loss: 2.0885
Epoch 29, Train Acc: 58.5387, Train Loss: 6.4260, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.7000, Test Loss: 2.0940
Epoch 30, Train Acc: 58.8588, Train Loss: 6.4174, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.2100, Test Loss: 2.2697
Epoch 31, Train Acc: 59.0749, Train Loss: 6.4005, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9600, Test Loss: 2.0046
Epoch 32, Train Acc: 59.0269, Train Loss: 6.3855, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.7800, Test Loss: 2.0109
Epoch 33, Train Acc: 58.9929, Train Loss: 6.3365, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.6800, Test Loss: 2.4352
Epoch 34, Train Acc: 59.1809, Train Loss: 6.2575, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.4500, Test Loss: 2.3633
Epoch 35, Train Acc: 59.1869, Train Loss: 6.2682, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9800, Test Loss: 1.9802
Epoch 36, Train Acc: 59.3990, Train Loss: 6.2935, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2900, Test Loss: 2.0119
Epoch 37, Train Acc: 59.3110, Train Loss: 6.2791, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6600, Test Loss: 2.0775
Epoch 38, Train Acc: 59.7011, Train Loss: 6.2199, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.9700, Test Loss: 2.1161
Epoch 39, Train Acc: 59.6271, Train Loss: 6.2681, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.9300, Test Loss: 1.9145
Epoch 40, Train Acc: 59.5371, Train Loss: 6.2328, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.4900, Test Loss: 2.1317
Epoch 41, Train Acc: 59.7651, Train Loss: 6.1987, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6900, Test Loss: 2.2030
Epoch 42, Train Acc: 59.6871, Train Loss: 6.2288, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.6600, Test Loss: 2.1147
Epoch 43, Train Acc: 60.0792, Train Loss: 6.1596, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3200, Test Loss: 1.7598
Epoch 44, Train Acc: 60.2773, Train Loss: 6.1318, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9600, Test Loss: 1.9724
Epoch 45, Train Acc: 60.2013, Train Loss: 6.1143, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.3700, Test Loss: 1.8638
Epoch 46, Train Acc: 59.9492, Train Loss: 6.2018, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2000, Test Loss: 2.2805
Epoch 47, Train Acc: 60.2833, Train Loss: 6.1198, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.4300, Test Loss: 1.8858
Epoch 48, Train Acc: 60.1813, Train Loss: 6.1451, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2300, Test Loss: 1.9234
Epoch 49, Train Acc: 60.3093, Train Loss: 6.1200, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9000, Test Loss: 1.9918
Epoch 50, Train Acc: 60.4013, Train Loss: 6.0933, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6400, Test Loss: 2.1071
Epoch 51, Train Acc: 60.2053, Train Loss: 6.0950, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.5500, Test Loss: 2.1775
Epoch 52, Train Acc: 60.4373, Train Loss: 6.1113, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5700, Test Loss: 1.9975
Epoch 53, Train Acc: 60.2633, Train Loss: 6.0653, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.7600, Test Loss: 2.0770
Epoch 54, Train Acc: 60.4934, Train Loss: 6.0594, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6100, Test Loss: 2.0790
Epoch 55, Train Acc: 60.6314, Train Loss: 6.0670, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.4900, Test Loss: 2.1426
Epoch 56, Train Acc: 60.1813, Train Loss: 6.0818, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9600, Test Loss: 2.0499
Epoch 57, Train Acc: 60.2013, Train Loss: 6.0961, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.2000, Test Loss: 2.4116
Epoch 58, Train Acc: 60.4073, Train Loss: 6.0773, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5100, Test Loss: 2.1624
Epoch 59, Train Acc: 60.3333, Train Loss: 6.0853, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.0400, Test Loss: 2.2216
Epoch 60, Train Acc: 60.5194, Train Loss: 6.0525, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.8500, Test Loss: 1.8716
Epoch 61, Train Acc: 60.5854, Train Loss: 6.0737, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0800, Test Loss: 1.8770
Epoch 62, Train Acc: 60.6914, Train Loss: 5.9946, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0000, Test Loss: 1.8839
Epoch 63, Train Acc: 60.8635, Train Loss: 6.0020, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.7400, Test Loss: 1.9806
Epoch 64, Train Acc: 60.5394, Train Loss: 6.0285, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.5500, Test Loss: 1.9135
Epoch 65, Train Acc: 60.5254, Train Loss: 6.0143, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.6700, Test Loss: 1.9408
Epoch 66, Train Acc: 60.9975, Train Loss: 6.0091, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.7900, Test Loss: 2.1070
Epoch 67, Train Acc: 60.8435, Train Loss: 6.0000, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9800, Test Loss: 2.0209
Epoch 68, Train Acc: 60.7174, Train Loss: 6.0048, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.5500, Test Loss: 1.7017
Epoch 69, Train Acc: 61.0735, Train Loss: 5.9771, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.7400, Test Loss: 2.2584
Epoch 70, Train Acc: 60.9195, Train Loss: 5.9838, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.0800, Test Loss: 2.3067
Epoch 71, Train Acc: 60.8635, Train Loss: 5.9840, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3600, Test Loss: 1.8684
Epoch 72, Train Acc: 60.5694, Train Loss: 5.9740, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.1700, Test Loss: 1.9760
Epoch 73, Train Acc: 60.9475, Train Loss: 5.9676, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5000, Test Loss: 1.8716
Epoch 74, Train Acc: 60.5534, Train Loss: 6.0016, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.6900, Test Loss: 2.0227
Epoch 75, Train Acc: 61.2476, Train Loss: 5.9657, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.0300, Test Loss: 1.7773
Epoch 76, Train Acc: 60.7995, Train Loss: 5.9742, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9800, Test Loss: 2.0065
Epoch 77, Train Acc: 61.1916, Train Loss: 5.9204, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.9700, Test Loss: 1.9692
Epoch 78, Train Acc: 60.6854, Train Loss: 5.9623, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.2100, Test Loss: 1.8537
Epoch 79, Train Acc: 61.2436, Train Loss: 5.9455, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9400, Test Loss: 1.9782
Epoch 80, Train Acc: 61.1476, Train Loss: 5.9372, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0500, Test Loss: 1.8872
Epoch 81, Train Acc: 61.1776, Train Loss: 5.9574, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.1200, Test Loss: 1.8592
Epoch 82, Train Acc: 61.1916, Train Loss: 5.9396, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.8100, Test Loss: 2.0449
Epoch 83, Train Acc: 61.0936, Train Loss: 5.9259, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.8900, Test Loss: 1.9318
Epoch 84, Train Acc: 61.0095, Train Loss: 5.9523, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.4600, Test Loss: 2.0692
Epoch 85, Train Acc: 61.1136, Train Loss: 5.9109, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.9100, Test Loss: 1.9687
Epoch 86, Train Acc: 61.4877, Train Loss: 5.9124, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.3000, Test Loss: 2.2367
Epoch 87, Train Acc: 61.7178, Train Loss: 5.8666, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.0000, Test Loss: 2.1823
Epoch 88, Train Acc: 61.1856, Train Loss: 5.9562, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9900, Test Loss: 2.0747
