Epoch 1, Train Acc: 8.1346, Train Loss: 5.0393, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 12.1900, Test Loss: 3.6215
Epoch 2, Train Acc: 17.8817, Train Loss: 5.1903, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.1700, Test Loss: 3.2881
Epoch 3, Train Acc: 27.2307, Train Loss: 5.2051, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 25.2300, Test Loss: 3.1384
Epoch 4, Train Acc: 33.8688, Train Loss: 5.2818, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.9400, Test Loss: 2.7663
Epoch 5, Train Acc: 39.1325, Train Loss: 5.3773, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.7600, Test Loss: 2.4421
Epoch 6, Train Acc: 43.0698, Train Loss: 5.5415, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 38.3400, Test Loss: 2.5058
Epoch 7, Train Acc: 46.3488, Train Loss: 5.7449, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.3900, Test Loss: 2.2701
Epoch 8, Train Acc: 48.6476, Train Loss: 5.9860, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.8900, Test Loss: 2.2675
Epoch 9, Train Acc: 50.1781, Train Loss: 6.2432, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.3100, Test Loss: 2.2227
Epoch 10, Train Acc: 51.4885, Train Loss: 6.5377, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.1000, Test Loss: 2.2102
Epoch 11, Train Acc: 52.7529, Train Loss: 6.8201, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.8000, Test Loss: 2.0140
Epoch 12, Train Acc: 53.8532, Train Loss: 7.0655, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.8100, Test Loss: 2.1114
Epoch 13, Train Acc: 54.1873, Train Loss: 7.4224, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.5300, Test Loss: 2.1224
Epoch 14, Train Acc: 55.3077, Train Loss: 7.6838, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.4600, Test Loss: 2.2498
Epoch 15, Train Acc: 55.6738, Train Loss: 7.9969, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.8300, Test Loss: 2.0319
Epoch 16, Train Acc: 56.4021, Train Loss: 8.2806, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2300, Test Loss: 1.9730
Epoch 17, Train Acc: 56.4561, Train Loss: 8.6682, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9000, Test Loss: 1.8464
Epoch 18, Train Acc: 56.8262, Train Loss: 8.9168, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7100, Test Loss: 2.2474
Epoch 19, Train Acc: 57.3203, Train Loss: 9.2639, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.1400, Test Loss: 2.0828
Epoch 20, Train Acc: 58.1186, Train Loss: 9.5413, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.1400, Test Loss: 2.1614
Epoch 21, Train Acc: 58.2826, Train Loss: 9.3578, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6500, Test Loss: 2.1892
Epoch 22, Train Acc: 58.6028, Train Loss: 9.3070, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.3600, Test Loss: 1.9198
Epoch 23, Train Acc: 58.8268, Train Loss: 9.2095, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.7700, Test Loss: 2.0112
Epoch 24, Train Acc: 59.2970, Train Loss: 9.1542, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.2000, Test Loss: 2.3675
Epoch 25, Train Acc: 59.6491, Train Loss: 9.1069, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.5800, Test Loss: 2.1160
Epoch 26, Train Acc: 59.7251, Train Loss: 9.0370, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.8800, Test Loss: 1.9077
Epoch 27, Train Acc: 59.6451, Train Loss: 9.0086, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.8500, Test Loss: 1.9498
Epoch 28, Train Acc: 60.1412, Train Loss: 8.9478, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.2900, Test Loss: 1.9203
Epoch 29, Train Acc: 59.9172, Train Loss: 8.9381, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.3600, Test Loss: 1.8421
Epoch 30, Train Acc: 60.0432, Train Loss: 8.9403, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2800, Test Loss: 1.8288
Epoch 31, Train Acc: 60.2133, Train Loss: 8.9339, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.6900, Test Loss: 1.9131
Epoch 32, Train Acc: 60.2293, Train Loss: 8.8350, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.1900, Test Loss: 1.9689
Epoch 33, Train Acc: 60.6634, Train Loss: 8.8226, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3600, Test Loss: 2.0932
Epoch 34, Train Acc: 60.4694, Train Loss: 8.7423, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2600, Test Loss: 2.0260
Epoch 35, Train Acc: 60.6414, Train Loss: 8.7797, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.7500, Test Loss: 1.9363
Epoch 36, Train Acc: 60.6674, Train Loss: 8.7254, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.3000, Test Loss: 1.9107
Epoch 37, Train Acc: 60.8995, Train Loss: 8.7287, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5500, Test Loss: 1.7415
Epoch 38, Train Acc: 60.9515, Train Loss: 8.7398, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.8500, Test Loss: 1.8701
Epoch 39, Train Acc: 60.9195, Train Loss: 8.7324, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.8200, Test Loss: 1.8035
