Epoch 1, Train Acc: 7.5344, Train Loss: 3.5369, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.5100, Test Loss: 3.7699
Epoch 2, Train Acc: 19.9684, Train Loss: 2.7863, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.4400, Test Loss: 3.2614
Epoch 3, Train Acc: 29.2994, Train Loss: 2.3205, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 33.6500, Test Loss: 2.5505
Epoch 4, Train Acc: 37.0018, Train Loss: 2.0135, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 37.5600, Test Loss: 2.3972
Epoch 5, Train Acc: 42.7357, Train Loss: 1.8027, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.6100, Test Loss: 2.3425
Epoch 6, Train Acc: 46.2948, Train Loss: 1.6653, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.3200, Test Loss: 2.2418
Epoch 7, Train Acc: 49.2338, Train Loss: 1.5550, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.1400, Test Loss: 2.3932
Epoch 8, Train Acc: 51.4245, Train Loss: 1.4815, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.5600, Test Loss: 1.9043
Epoch 9, Train Acc: 53.4171, Train Loss: 1.4184, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.8000, Test Loss: 2.2847
Epoch 10, Train Acc: 54.7655, Train Loss: 1.3677, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.3000, Test Loss: 1.8528
Epoch 11, Train Acc: 56.0299, Train Loss: 1.3288, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.2200, Test Loss: 2.1231
Epoch 12, Train Acc: 57.2083, Train Loss: 1.2915, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3700, Test Loss: 1.9480
Epoch 13, Train Acc: 57.9646, Train Loss: 1.2664, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.0900, Test Loss: 1.9337
Epoch 14, Train Acc: 58.3907, Train Loss: 1.2475, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3700, Test Loss: 1.9982
Epoch 15, Train Acc: 59.4710, Train Loss: 1.2196, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.9600, Test Loss: 1.9498
Epoch 16, Train Acc: 59.8331, Train Loss: 1.2076, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.6400, Test Loss: 1.6494
Epoch 17, Train Acc: 60.4854, Train Loss: 1.1831, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.3000, Test Loss: 1.7511
Epoch 18, Train Acc: 60.8735, Train Loss: 1.1742, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.2000, Test Loss: 1.6318
Epoch 19, Train Acc: 60.8095, Train Loss: 1.1664, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.8600, Test Loss: 1.7989
Epoch 20, Train Acc: 61.4957, Train Loss: 1.1544, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.9600, Test Loss: 1.6884
Epoch 21, Train Acc: 61.6497, Train Loss: 1.1449, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.8900, Test Loss: 1.7230
Epoch 22, Train Acc: 61.9438, Train Loss: 1.1366, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9700, Test Loss: 1.7908
Epoch 23, Train Acc: 62.4860, Train Loss: 1.1260, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.8200, Test Loss: 1.6455
Epoch 24, Train Acc: 62.7041, Train Loss: 1.1184, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.3500, Test Loss: 1.8047
Epoch 25, Train Acc: 62.5760, Train Loss: 1.1130, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.1100, Test Loss: 1.8379
Epoch 26, Train Acc: 63.2242, Train Loss: 1.1036, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.1100, Test Loss: 1.5523
Epoch 27, Train Acc: 63.0222, Train Loss: 1.1017, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.6200, Test Loss: 1.7914
Epoch 28, Train Acc: 63.2502, Train Loss: 1.0969, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.8800, Test Loss: 1.5585
Epoch 29, Train Acc: 63.3203, Train Loss: 1.0895, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0300, Test Loss: 1.7090
Epoch 30, Train Acc: 63.6684, Train Loss: 1.0842, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.5900, Test Loss: 1.5971
Epoch 31, Train Acc: 63.4723, Train Loss: 1.0881, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.2500, Test Loss: 1.6100
Epoch 32, Train Acc: 63.5583, Train Loss: 1.0836, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5600, Test Loss: 1.8022
Epoch 33, Train Acc: 63.9365, Train Loss: 1.0759, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6800, Test Loss: 1.8045
Epoch 34, Train Acc: 64.2246, Train Loss: 1.0701, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5000, Test Loss: 1.6669
Epoch 35, Train Acc: 64.1785, Train Loss: 1.0659, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.3600, Test Loss: 1.5938
Epoch 36, Train Acc: 64.1025, Train Loss: 1.0641, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.4300, Test Loss: 1.5791
Epoch 37, Train Acc: 64.1785, Train Loss: 1.0670, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.7800, Test Loss: 1.6686
Epoch 38, Train Acc: 64.1545, Train Loss: 1.0657, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.1900, Test Loss: 1.7900
Epoch 39, Train Acc: 64.5327, Train Loss: 1.0566, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.2200, Test Loss: 1.7302
Epoch 40, Train Acc: 64.5807, Train Loss: 1.0549, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5300, Test Loss: 1.8238
Epoch 41, Train Acc: 64.7187, Train Loss: 1.0543, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5800, Test Loss: 1.6659
Epoch 42, Train Acc: 64.6847, Train Loss: 1.0544, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.6900, Test Loss: 1.5683
Epoch 43, Train Acc: 64.3286, Train Loss: 1.0505, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2300, Test Loss: 1.7157
Epoch 44, Train Acc: 64.8447, Train Loss: 1.0427, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.6900, Test Loss: 1.5394
Epoch 45, Train Acc: 64.8167, Train Loss: 1.0428, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.1700, Test Loss: 1.5283
Epoch 46, Train Acc: 65.0688, Train Loss: 1.0392, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.8000, Test Loss: 1.6736
Epoch 47, Train Acc: 64.9208, Train Loss: 1.0433, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.8900, Test Loss: 1.6002
Epoch 48, Train Acc: 64.7547, Train Loss: 1.0439, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.8200, Test Loss: 1.6406
Epoch 49, Train Acc: 64.9468, Train Loss: 1.0381, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.8200, Test Loss: 1.7483
Epoch 50, Train Acc: 65.0328, Train Loss: 1.0350, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.7900, Test Loss: 1.6338
Epoch 51, Train Acc: 65.0948, Train Loss: 1.0331, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.5300, Test Loss: 1.5502
Epoch 52, Train Acc: 65.2669, Train Loss: 1.0333, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.2600, Test Loss: 1.6189
Epoch 53, Train Acc: 65.5010, Train Loss: 1.0257, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 60.7100, Test Loss: 1.4836
Epoch 54, Train Acc: 65.4650, Train Loss: 1.0315, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.5900, Test Loss: 1.7638
Epoch 55, Train Acc: 65.3009, Train Loss: 1.0276, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.0200, Test Loss: 1.5463
Epoch 56, Train Acc: 65.6270, Train Loss: 1.0256, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2300, Test Loss: 1.7044
Epoch 57, Train Acc: 65.2649, Train Loss: 1.0242, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.7500, Test Loss: 1.6311
Epoch 58, Train Acc: 65.6110, Train Loss: 1.0206, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.9200, Test Loss: 1.7037
Epoch 59, Train Acc: 65.6590, Train Loss: 1.0187, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.0100, Test Loss: 1.5385
Epoch 60, Train Acc: 65.2109, Train Loss: 1.0264, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.8100, Test Loss: 1.5935
Epoch 61, Train Acc: 65.8151, Train Loss: 1.0149, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.7600, Test Loss: 1.6047
Epoch 62, Train Acc: 65.7470, Train Loss: 1.0196, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.1400, Test Loss: 1.6583
Epoch 63, Train Acc: 65.7270, Train Loss: 1.0156, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.5000, Test Loss: 1.5783
Epoch 64, Train Acc: 65.6410, Train Loss: 1.0150, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.2500, Test Loss: 1.5210
Epoch 65, Train Acc: 65.9351, Train Loss: 1.0117, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 60.2300, Test Loss: 1.4842
Epoch 66, Train Acc: 65.8911, Train Loss: 1.0153, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.0000, Test Loss: 1.6452
Epoch 67, Train Acc: 65.9111, Train Loss: 1.0145, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.1500, Test Loss: 1.8371
Epoch 68, Train Acc: 65.9031, Train Loss: 1.0158, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.3300, Test Loss: 1.4915
Epoch 69, Train Acc: 66.0151, Train Loss: 1.0063, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.4200, Test Loss: 1.5680
Epoch 70, Train Acc: 66.0211, Train Loss: 1.0093, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.4900, Test Loss: 1.5714
Epoch 71, Train Acc: 65.8211, Train Loss: 1.0051, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3900, Test Loss: 1.8782
Epoch 72, Train Acc: 65.7250, Train Loss: 1.0122, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.5100, Test Loss: 1.6032
Epoch 73, Train Acc: 66.1592, Train Loss: 1.0027, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.6100, Test Loss: 1.5999
Epoch 74, Train Acc: 66.0771, Train Loss: 1.0033, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.6000, Test Loss: 1.5647
Epoch 75, Train Acc: 65.9251, Train Loss: 1.0102, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.3600, Test Loss: 1.7225
Epoch 76, Train Acc: 66.1592, Train Loss: 1.0040, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.6700, Test Loss: 1.5167
Epoch 77, Train Acc: 66.2832, Train Loss: 0.9988, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.0700, Test Loss: 1.5363
Epoch 78, Train Acc: 65.9931, Train Loss: 1.0112, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3800, Test Loss: 1.6476
Epoch 79, Train Acc: 66.0631, Train Loss: 1.0036, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.4800, Test Loss: 1.6024
Epoch 80, Train Acc: 66.3752, Train Loss: 0.9990, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.2600, Test Loss: 1.6719
Epoch 81, Train Acc: 66.1972, Train Loss: 1.0026, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.8400, Test Loss: 1.5076
Epoch 82, Train Acc: 66.0391, Train Loss: 1.0044, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.5900, Test Loss: 1.6341
Epoch 83, Train Acc: 66.3012, Train Loss: 0.9951, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.7300, Test Loss: 1.4824
Epoch 84, Train Acc: 66.4513, Train Loss: 0.9972, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.0200, Test Loss: 1.5317
Epoch 85, Train Acc: 66.3892, Train Loss: 0.9970, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.5700, Test Loss: 1.6945
Epoch 86, Train Acc: 66.2972, Train Loss: 0.9985, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.4700, Test Loss: 1.5662
Epoch 87, Train Acc: 66.5033, Train Loss: 0.9907, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.3300, Test Loss: 1.6296
