Epoch 1, Train Acc: 8.1846, Train Loss: 36.4042, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 15.2100, Test Loss: 3.9152
Epoch 2, Train Acc: 20.1404, Train Loss: 30.0176, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.5700, Test Loss: 4.1225
Epoch 3, Train Acc: 29.9296, Train Loss: 25.2112, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 27.1200, Test Loss: 3.7751
Epoch 4, Train Acc: 37.0499, Train Loss: 21.9509, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 37.7500, Test Loss: 2.9855
Epoch 5, Train Acc: 42.2495, Train Loss: 19.6652, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.7400, Test Loss: 2.9644
Epoch 6, Train Acc: 45.4646, Train Loss: 18.3290, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.0300, Test Loss: 2.9995
Epoch 7, Train Acc: 48.0254, Train Loss: 17.3932, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.9300, Test Loss: 2.7654
Epoch 8, Train Acc: 49.8460, Train Loss: 16.6845, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.0000, Test Loss: 2.9643
Epoch 9, Train Acc: 51.0043, Train Loss: 16.1672, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.4700, Test Loss: 2.6445
Epoch 10, Train Acc: 51.9186, Train Loss: 15.8311, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.8200, Test Loss: 3.1188
Epoch 11, Train Acc: 52.9349, Train Loss: 15.5226, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.8500, Test Loss: 2.5228
Epoch 12, Train Acc: 53.9613, Train Loss: 15.1265, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.6700, Test Loss: 2.1587
Epoch 13, Train Acc: 54.1113, Train Loss: 14.8885, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.8000, Test Loss: 2.3890
Epoch 14, Train Acc: 54.7075, Train Loss: 14.7213, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.4100, Test Loss: 2.2434
Epoch 15, Train Acc: 55.0716, Train Loss: 14.5250, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.2500, Test Loss: 2.4226
Epoch 16, Train Acc: 55.4998, Train Loss: 14.4488, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3900, Test Loss: 2.5447
Epoch 17, Train Acc: 56.1960, Train Loss: 14.1942, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.0200, Test Loss: 2.7924
Epoch 18, Train Acc: 56.2660, Train Loss: 14.1998, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7900, Test Loss: 2.5548
Epoch 19, Train Acc: 56.6261, Train Loss: 14.0380, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.0200, Test Loss: 2.0127
Epoch 20, Train Acc: 56.9682, Train Loss: 13.9494, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.0200, Test Loss: 2.2424
Epoch 21, Train Acc: 56.8422, Train Loss: 13.8917, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.5400, Test Loss: 2.4921
Epoch 22, Train Acc: 56.9302, Train Loss: 13.8431, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.5700, Test Loss: 2.2965
Epoch 23, Train Acc: 57.0343, Train Loss: 13.8329, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.1400, Test Loss: 2.5423
Epoch 24, Train Acc: 57.1423, Train Loss: 13.6890, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.9800, Test Loss: 2.2672
Epoch 25, Train Acc: 57.0022, Train Loss: 13.6996, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.0000, Test Loss: 2.6437
Epoch 26, Train Acc: 57.7185, Train Loss: 13.5834, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.7200, Test Loss: 2.2382
Epoch 27, Train Acc: 57.6865, Train Loss: 13.6208, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.1400, Test Loss: 2.3035
Epoch 28, Train Acc: 57.8625, Train Loss: 13.5492, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2200, Test Loss: 2.4207
Epoch 29, Train Acc: 57.9906, Train Loss: 13.4395, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.2900, Test Loss: 2.4363
Epoch 30, Train Acc: 57.9185, Train Loss: 13.4415, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.1900, Test Loss: 2.1274
Epoch 31, Train Acc: 58.3967, Train Loss: 13.3682, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.2700, Test Loss: 3.2836
Epoch 32, Train Acc: 58.4607, Train Loss: 13.2956, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.4700, Test Loss: 2.1902
Epoch 33, Train Acc: 58.3967, Train Loss: 13.2102, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.9700, Test Loss: 2.3580
Epoch 34, Train Acc: 58.6288, Train Loss: 13.2559, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.9500, Test Loss: 2.4787
Epoch 35, Train Acc: 58.6848, Train Loss: 13.2107, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.9200, Test Loss: 2.7101
Epoch 36, Train Acc: 58.3807, Train Loss: 13.2411, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7900, Test Loss: 2.4447
Epoch 37, Train Acc: 58.8768, Train Loss: 13.1209, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.9100, Test Loss: 2.1679
