Epoch 1, Train Acc: 9.0969, Train Loss: 7.6748, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 14.4500, Test Loss: 3.6375
Epoch 2, Train Acc: 20.4085, Train Loss: 6.6022, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 23.5100, Test Loss: 3.1087
Epoch 3, Train Acc: 30.1957, Train Loss: 5.7153, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.3600, Test Loss: 2.7210
Epoch 4, Train Acc: 36.9498, Train Loss: 5.1530, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 37.3900, Test Loss: 2.4708
Epoch 5, Train Acc: 41.8714, Train Loss: 4.7603, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.4900, Test Loss: 2.3854
Epoch 6, Train Acc: 45.2285, Train Loss: 4.4869, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.9600, Test Loss: 2.2959
Epoch 7, Train Acc: 47.4652, Train Loss: 4.3021, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.0000, Test Loss: 2.1166
Epoch 8, Train Acc: 49.3018, Train Loss: 4.1568, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.2400, Test Loss: 2.0855
Epoch 9, Train Acc: 50.7963, Train Loss: 4.0474, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.2800, Test Loss: 2.2227
Epoch 10, Train Acc: 51.6045, Train Loss: 3.9751, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.0600, Test Loss: 2.2100
Epoch 11, Train Acc: 52.6649, Train Loss: 3.8944, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.5400, Test Loss: 2.1306
Epoch 12, Train Acc: 53.1370, Train Loss: 3.8490, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.3900, Test Loss: 2.0769
Epoch 13, Train Acc: 54.0813, Train Loss: 3.7918, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.3800, Test Loss: 2.0941
Epoch 14, Train Acc: 54.6915, Train Loss: 3.7469, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.0600, Test Loss: 2.0333
Epoch 15, Train Acc: 54.9456, Train Loss: 3.7149, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.1100, Test Loss: 2.0190
Epoch 16, Train Acc: 55.2797, Train Loss: 3.6956, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.0900, Test Loss: 2.0403
Epoch 17, Train Acc: 55.6698, Train Loss: 3.6470, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.4100, Test Loss: 2.0247
Epoch 18, Train Acc: 56.2180, Train Loss: 3.6493, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.3700, Test Loss: 2.0006
Epoch 19, Train Acc: 56.6281, Train Loss: 3.5976, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3900, Test Loss: 1.9116
Epoch 20, Train Acc: 56.3080, Train Loss: 3.5939, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.5500, Test Loss: 2.0823
Epoch 21, Train Acc: 56.6881, Train Loss: 3.5754, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.7500, Test Loss: 2.2102
Epoch 22, Train Acc: 57.0403, Train Loss: 3.5480, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2900, Test Loss: 2.0019
Epoch 23, Train Acc: 57.3003, Train Loss: 3.5450, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2200, Test Loss: 1.9885
