Epoch 1, Train Acc: 7.4744, Train Loss: 5.3026, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.6300, Test Loss: 3.9921
Epoch 2, Train Acc: 17.0315, Train Loss: 5.6203, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 22.9300, Test Loss: 3.0851
Epoch 3, Train Acc: 26.4245, Train Loss: 5.7539, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 24.5400, Test Loss: 3.2543
Epoch 4, Train Acc: 33.9769, Train Loss: 5.9286, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 31.5400, Test Loss: 3.0536
Epoch 5, Train Acc: 39.6747, Train Loss: 6.1019, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.2700, Test Loss: 2.4023
Epoch 6, Train Acc: 43.9761, Train Loss: 6.3365, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.3900, Test Loss: 2.5485
Epoch 7, Train Acc: 46.9270, Train Loss: 6.6311, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.0900, Test Loss: 2.5596
Epoch 8, Train Acc: 49.4018, Train Loss: 6.9490, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.8800, Test Loss: 2.2255
Epoch 9, Train Acc: 51.0463, Train Loss: 7.2929, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.8500, Test Loss: 2.0838
Epoch 10, Train Acc: 52.7089, Train Loss: 7.6115, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.1400, Test Loss: 2.3452
Epoch 11, Train Acc: 53.7332, Train Loss: 8.0167, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.4200, Test Loss: 2.5710
Epoch 12, Train Acc: 55.0136, Train Loss: 8.3362, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3400, Test Loss: 2.1271
Epoch 13, Train Acc: 55.8659, Train Loss: 8.6942, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.2700, Test Loss: 2.3529
Epoch 14, Train Acc: 56.7862, Train Loss: 9.0776, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.0200, Test Loss: 2.1899
Epoch 15, Train Acc: 57.3544, Train Loss: 9.4842, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.2800, Test Loss: 2.1873
Epoch 16, Train Acc: 57.4844, Train Loss: 9.8696, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.8200, Test Loss: 2.0686
Epoch 17, Train Acc: 58.2586, Train Loss: 10.2398, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.9500, Test Loss: 2.4989
Epoch 18, Train Acc: 58.5207, Train Loss: 10.6683, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.6700, Test Loss: 2.0381
Epoch 19, Train Acc: 58.9209, Train Loss: 10.9604, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.0400, Test Loss: 2.0547
Epoch 20, Train Acc: 59.1249, Train Loss: 11.4249, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.0600, Test Loss: 2.2084
Epoch 21, Train Acc: 60.1572, Train Loss: 11.1455, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.0700, Test Loss: 2.3041
Epoch 22, Train Acc: 60.5094, Train Loss: 11.0877, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.9600, Test Loss: 2.2578
Epoch 23, Train Acc: 60.4473, Train Loss: 10.9712, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2100, Test Loss: 2.0474
Epoch 24, Train Acc: 61.2176, Train Loss: 10.8291, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9000, Test Loss: 2.1181
Epoch 25, Train Acc: 61.1136, Train Loss: 10.8143, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9200, Test Loss: 2.0891
