Epoch 1, Train Acc: 7.4584, Train Loss: 4.9292, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.5600, Test Loss: 3.6093
Epoch 2, Train Acc: 17.2375, Train Loss: 4.9900, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.1100, Test Loss: 3.3568
Epoch 3, Train Acc: 26.2024, Train Loss: 4.9728, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 28.2200, Test Loss: 2.9059
Epoch 4, Train Acc: 33.1046, Train Loss: 5.0228, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.8000, Test Loss: 2.8140
Epoch 5, Train Acc: 38.2142, Train Loss: 5.0973, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 33.8500, Test Loss: 2.8068
Epoch 6, Train Acc: 42.3155, Train Loss: 5.2111, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.3200, Test Loss: 2.3730
Epoch 7, Train Acc: 45.4966, Train Loss: 5.3854, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.9200, Test Loss: 2.5830
Epoch 8, Train Acc: 47.8653, Train Loss: 5.5728, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.7600, Test Loss: 2.3720
Epoch 9, Train Acc: 49.6659, Train Loss: 5.7766, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.2700, Test Loss: 2.1187
Epoch 10, Train Acc: 50.9323, Train Loss: 6.0247, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.0400, Test Loss: 2.4710
Epoch 11, Train Acc: 52.1787, Train Loss: 6.2119, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.7900, Test Loss: 2.5280
Epoch 12, Train Acc: 52.9770, Train Loss: 6.4555, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3700, Test Loss: 2.1620
Epoch 13, Train Acc: 54.2994, Train Loss: 6.6965, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.8700, Test Loss: 2.6496
Epoch 14, Train Acc: 54.6535, Train Loss: 6.9698, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.9800, Test Loss: 2.6309
Epoch 15, Train Acc: 55.6638, Train Loss: 7.1542, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.9000, Test Loss: 2.2959
Epoch 16, Train Acc: 56.1660, Train Loss: 7.3880, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.0400, Test Loss: 2.1917
Epoch 17, Train Acc: 56.6181, Train Loss: 7.6196, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.8400, Test Loss: 2.2122
Epoch 18, Train Acc: 56.8882, Train Loss: 7.9229, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.1500, Test Loss: 2.0207
Epoch 19, Train Acc: 57.2243, Train Loss: 8.2164, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.1500, Test Loss: 2.3490
Epoch 20, Train Acc: 57.6104, Train Loss: 8.4493, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.5400, Test Loss: 2.5009
Epoch 21, Train Acc: 58.5087, Train Loss: 8.2720, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.4100, Test Loss: 2.3706
Epoch 22, Train Acc: 59.0929, Train Loss: 8.1360, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.1200, Test Loss: 2.3525
Epoch 23, Train Acc: 59.7491, Train Loss: 8.0587, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.0700, Test Loss: 2.0695
Epoch 24, Train Acc: 59.7111, Train Loss: 8.0258, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.0900, Test Loss: 2.1759
Epoch 25, Train Acc: 59.7311, Train Loss: 7.9602, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.7400, Test Loss: 2.3416
