Epoch 39, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 40, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 41, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 42, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 43, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 44, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 45, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 46, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 47, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 48, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 49, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 50, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 51, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 52, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 53, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 54, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 55, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 56, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 57, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 58, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 59, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 60, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 61, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 62, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 63, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 64, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 65, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 66, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 67, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 68, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 69, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 70, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 71, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 72, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 73, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
