Epoch 1, Train Acc: 6.0639, Train Loss: 4.3836, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.3600, Test Loss: 3.8400
Epoch 2, Train Acc: 13.9265, Train Loss: 4.0194, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 18.0500, Test Loss: 3.5095
Epoch 3, Train Acc: 21.5809, Train Loss: 3.7316, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.6600, Test Loss: 3.3248
Epoch 4, Train Acc: 29.6295, Train Loss: 3.4542, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 28.9900, Test Loss: 2.9612
Epoch 5, Train Acc: 35.4353, Train Loss: 3.2525, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 34.2500, Test Loss: 2.7956
Epoch 6, Train Acc: 39.6787, Train Loss: 3.1097, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.8100, Test Loss: 2.6701
Epoch 7, Train Acc: 42.9137, Train Loss: 3.0039, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 41.8600, Test Loss: 2.5236
Epoch 8, Train Acc: 45.7266, Train Loss: 2.9241, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.4700, Test Loss: 2.4932
Epoch 9, Train Acc: 47.3712, Train Loss: 2.8689, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.4100, Test Loss: 2.5083
Epoch 10, Train Acc: 49.1437, Train Loss: 2.8153, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.3200, Test Loss: 2.5122
Epoch 11, Train Acc: 50.4061, Train Loss: 2.7803, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.2800, Test Loss: 2.4185
Epoch 12, Train Acc: 51.2104, Train Loss: 2.7476, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.3900, Test Loss: 2.3332
Epoch 13, Train Acc: 52.0747, Train Loss: 2.7197, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6600, Test Loss: 2.2302
Epoch 14, Train Acc: 53.2730, Train Loss: 2.6980, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.6000, Test Loss: 2.2743
Epoch 15, Train Acc: 53.6052, Train Loss: 2.6800, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.1800, Test Loss: 2.0992
Epoch 16, Train Acc: 54.4174, Train Loss: 2.6579, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.3300, Test Loss: 2.3283
Epoch 17, Train Acc: 54.5855, Train Loss: 2.6452, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.3400, Test Loss: 2.3325
Epoch 18, Train Acc: 55.1657, Train Loss: 2.6244, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.1200, Test Loss: 2.3010
Epoch 19, Train Acc: 55.7879, Train Loss: 2.6143, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.6100, Test Loss: 2.3113
Epoch 20, Train Acc: 55.6838, Train Loss: 2.6079, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.6200, Test Loss: 2.1914
Epoch 21, Train Acc: 56.1060, Train Loss: 2.5957, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.3500, Test Loss: 2.2789
Epoch 22, Train Acc: 56.7362, Train Loss: 2.5803, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.6600, Test Loss: 2.3409
Epoch 23, Train Acc: 56.9062, Train Loss: 2.5773, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.5100, Test Loss: 2.2404
Epoch 24, Train Acc: 56.9122, Train Loss: 2.5718, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.8400, Test Loss: 2.1695
Epoch 25, Train Acc: 57.1623, Train Loss: 2.5669, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5400, Test Loss: 2.1396
Epoch 26, Train Acc: 57.3404, Train Loss: 2.5574, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.4400, Test Loss: 2.2200
Epoch 27, Train Acc: 57.6364, Train Loss: 2.5524, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.7400, Test Loss: 2.4354
Epoch 28, Train Acc: 57.9565, Train Loss: 2.5429, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6200, Test Loss: 2.2296
Epoch 29, Train Acc: 58.2206, Train Loss: 2.5384, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.5400, Test Loss: 2.2416
