Epoch 1, Train Acc: 1.2024, Train Loss: 10.9270, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.6300, Test Loss: 4.5726
Epoch 2, Train Acc: 1.7286, Train Loss: 10.1618, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.5200, Test Loss: 4.5557
Epoch 3, Train Acc: 1.9606, Train Loss: 10.1253, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.0300, Test Loss: 4.5436
Epoch 4, Train Acc: 2.2647, Train Loss: 10.0971, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.3700, Test Loss: 4.5289
Epoch 5, Train Acc: 2.6128, Train Loss: 10.0091, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.1400, Test Loss: 4.5005
Epoch 6, Train Acc: 5.1997, Train Loss: 9.5149, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 6.9200, Test Loss: 4.3528
Epoch 7, Train Acc: 8.6188, Train Loss: 9.0599, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.1800, Test Loss: 4.2609
Epoch 8, Train Acc: 12.5780, Train Loss: 8.6423, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.8800, Test Loss: 4.1445
Epoch 9, Train Acc: 17.7557, Train Loss: 8.2258, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.0600, Test Loss: 4.0231
Epoch 10, Train Acc: 24.3378, Train Loss: 7.7843, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 23.9900, Test Loss: 3.9604
Epoch 11, Train Acc: 30.2237, Train Loss: 7.3667, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 28.9000, Test Loss: 3.8576
Epoch 12, Train Acc: 35.4433, Train Loss: 7.0321, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 35.0800, Test Loss: 3.7974
Epoch 13, Train Acc: 39.3646, Train Loss: 6.7515, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 33.3400, Test Loss: 3.7443
