Epoch 1, Train Acc: 8.7068, Train Loss: 7.4597, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.8100, Test Loss: 3.6683
Epoch 2, Train Acc: 22.0250, Train Loss: 5.6782, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 26.7700, Test Loss: 2.8702
Epoch 3, Train Acc: 32.7065, Train Loss: 4.6109, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 35.8200, Test Loss: 2.4747
Epoch 4, Train Acc: 40.2769, Train Loss: 3.9609, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.4000, Test Loss: 2.5067
Epoch 5, Train Acc: 45.5206, Train Loss: 3.5575, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.6500, Test Loss: 2.0871
Epoch 6, Train Acc: 49.0977, Train Loss: 3.2872, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.7700, Test Loss: 1.9911
Epoch 7, Train Acc: 51.4245, Train Loss: 3.0875, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.8800, Test Loss: 2.4262
Epoch 8, Train Acc: 53.3411, Train Loss: 2.9659, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.8600, Test Loss: 1.9298
Epoch 9, Train Acc: 54.6475, Train Loss: 2.8592, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.8900, Test Loss: 2.0336
Epoch 10, Train Acc: 55.9819, Train Loss: 2.7808, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5900, Test Loss: 1.7722
Epoch 11, Train Acc: 57.2763, Train Loss: 2.7031, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.0400, Test Loss: 1.9418
Epoch 12, Train Acc: 57.6805, Train Loss: 2.6645, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.4700, Test Loss: 1.7649
Epoch 13, Train Acc: 58.3487, Train Loss: 2.6119, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.3000, Test Loss: 1.8803
Epoch 14, Train Acc: 58.9929, Train Loss: 2.5683, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.3800, Test Loss: 1.8998
Epoch 15, Train Acc: 59.3130, Train Loss: 2.5395, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9100, Test Loss: 1.8016
Epoch 16, Train Acc: 59.8492, Train Loss: 2.5086, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.4500, Test Loss: 1.9318
Epoch 17, Train Acc: 60.4273, Train Loss: 2.4831, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.5400, Test Loss: 2.0118
Epoch 18, Train Acc: 60.4593, Train Loss: 2.4706, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2100, Test Loss: 1.8267
Epoch 19, Train Acc: 60.8675, Train Loss: 2.4555, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.6400, Test Loss: 2.0000
Epoch 20, Train Acc: 61.0435, Train Loss: 2.4346, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9600, Test Loss: 1.7800
Epoch 21, Train Acc: 61.2596, Train Loss: 2.4096, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9200, Test Loss: 1.7657
Epoch 22, Train Acc: 61.7558, Train Loss: 2.3877, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.4200, Test Loss: 1.6897
Epoch 23, Train Acc: 61.4597, Train Loss: 2.4023, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.8800, Test Loss: 1.9331
Epoch 24, Train Acc: 62.0859, Train Loss: 2.3611, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3200, Test Loss: 1.6663
Epoch 25, Train Acc: 62.2619, Train Loss: 2.3497, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.2400, Test Loss: 1.8476
Epoch 26, Train Acc: 62.6300, Train Loss: 2.3409, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.1900, Test Loss: 1.6274
Epoch 27, Train Acc: 62.5660, Train Loss: 2.3353, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0300, Test Loss: 1.7010
Epoch 28, Train Acc: 62.5660, Train Loss: 2.3306, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6200, Test Loss: 1.8315
Epoch 29, Train Acc: 62.7341, Train Loss: 2.3164, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.0100, Test Loss: 1.6741
Epoch 30, Train Acc: 62.9561, Train Loss: 2.3089, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3900, Test Loss: 1.6513
Epoch 31, Train Acc: 63.1362, Train Loss: 2.3008, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.4000, Test Loss: 1.7928
Epoch 32, Train Acc: 62.8321, Train Loss: 2.2993, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.0100, Test Loss: 1.5368
Epoch 33, Train Acc: 63.2342, Train Loss: 2.2862, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.7900, Test Loss: 1.8482
Epoch 34, Train Acc: 63.4643, Train Loss: 2.2778, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.3600, Test Loss: 1.5834
Epoch 35, Train Acc: 63.2082, Train Loss: 2.2859, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.5300, Test Loss: 1.7041
Epoch 36, Train Acc: 63.3703, Train Loss: 2.2691, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.9900, Test Loss: 1.5926
Epoch 37, Train Acc: 63.4943, Train Loss: 2.2708, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.4000, Test Loss: 1.6348
Epoch 38, Train Acc: 63.8304, Train Loss: 2.2503, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.7200, Test Loss: 1.6249
Epoch 39, Train Acc: 63.7184, Train Loss: 2.2569, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.4600, Test Loss: 1.6500
Epoch 40, Train Acc: 63.8144, Train Loss: 2.2545, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0500, Test Loss: 1.7161
Epoch 41, Train Acc: 63.9365, Train Loss: 2.2421, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.8400, Test Loss: 1.6095
Epoch 42, Train Acc: 63.8584, Train Loss: 2.2442, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.3200, Test Loss: 1.5140
Epoch 43, Train Acc: 64.0125, Train Loss: 2.2359, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.3800, Test Loss: 1.7725
Epoch 44, Train Acc: 64.1385, Train Loss: 2.2211, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.7800, Test Loss: 1.5746
Epoch 45, Train Acc: 64.2366, Train Loss: 2.2231, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.6100, Test Loss: 1.6101
Epoch 46, Train Acc: 64.2566, Train Loss: 2.2296, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.9200, Test Loss: 1.6593
Epoch 47, Train Acc: 64.1665, Train Loss: 2.2204, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.8600, Test Loss: 1.7690
Epoch 48, Train Acc: 64.5306, Train Loss: 2.2079, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.8600, Test Loss: 1.6245
Epoch 49, Train Acc: 64.3906, Train Loss: 2.2138, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.4400, Test Loss: 1.5988
Epoch 50, Train Acc: 64.6227, Train Loss: 2.2039, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.9300, Test Loss: 1.6893
Epoch 51, Train Acc: 64.2386, Train Loss: 2.2191, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.5300, Test Loss: 1.5998
Epoch 52, Train Acc: 64.5467, Train Loss: 2.2033, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.7400, Test Loss: 1.5837
Epoch 53, Train Acc: 64.8227, Train Loss: 2.1949, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.2300, Test Loss: 1.7151
Epoch 54, Train Acc: 64.7127, Train Loss: 2.1846, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.4600, Test Loss: 1.7067
Epoch 55, Train Acc: 64.8508, Train Loss: 2.1893, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.9400, Test Loss: 1.6741
Epoch 56, Train Acc: 64.6727, Train Loss: 2.1923, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 58.6400, Test Loss: 1.5717
Epoch 57, Train Acc: 64.7267, Train Loss: 2.1966, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.8300, Test Loss: 1.6002
Epoch 58, Train Acc: 64.8848, Train Loss: 2.1814, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.2900, Test Loss: 1.7619
Epoch 59, Train Acc: 65.0608, Train Loss: 2.1652, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.8300, Test Loss: 1.6923
Epoch 60, Train Acc: 64.7567, Train Loss: 2.1892, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 59.5900, Test Loss: 1.5177
Epoch 61, Train Acc: 65.0328, Train Loss: 2.1660, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5300, Test Loss: 1.6619
Epoch 62, Train Acc: 64.8748, Train Loss: 2.1812, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.5600, Test Loss: 1.6579
Epoch 63, Train Acc: 65.2269, Train Loss: 2.1666, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.2800, Test Loss: 1.9501
Epoch 64, Train Acc: 65.1108, Train Loss: 2.1609, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.4800, Test Loss: 1.6393
Epoch 65, Train Acc: 65.1769, Train Loss: 2.1604, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.6500, Test Loss: 1.6645
