Epoch 1, Train Acc: 8.7708, Train Loss: 4.8795, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.8100, Test Loss: 3.9266
Epoch 2, Train Acc: 22.0891, Train Loss: 3.7516, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 23.3100, Test Loss: 3.0803
Epoch 3, Train Acc: 32.5204, Train Loss: 3.1047, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 31.6900, Test Loss: 2.6607
Epoch 4, Train Acc: 39.2766, Train Loss: 2.7126, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.0300, Test Loss: 2.3826
Epoch 5, Train Acc: 44.5042, Train Loss: 2.4423, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.9100, Test Loss: 2.1450
Epoch 6, Train Acc: 47.8513, Train Loss: 2.2785, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 35.9100, Test Loss: 2.6606
Epoch 7, Train Acc: 50.6542, Train Loss: 2.1397, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.4200, Test Loss: 2.2134
Epoch 8, Train Acc: 53.0790, Train Loss: 2.0393, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.7400, Test Loss: 1.9344
Epoch 9, Train Acc: 53.8372, Train Loss: 1.9788, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.9400, Test Loss: 2.0111
Epoch 10, Train Acc: 55.4778, Train Loss: 1.9145, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.8900, Test Loss: 1.9002
Epoch 11, Train Acc: 57.0322, Train Loss: 1.8543, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.1400, Test Loss: 1.9256
Epoch 12, Train Acc: 57.2523, Train Loss: 1.8315, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.1600, Test Loss: 1.9968
Epoch 13, Train Acc: 57.8885, Train Loss: 1.7982, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.3000, Test Loss: 1.7860
